id,displayName,appId,applicationType
15f5f1ff-418c-467e-ad78-2bf62f659c3b,Teams User Engagement Profile Service,0f54b75d-4d29-4a92-80ae-106a60cd8f5d,Microsoft Application
1642458c-a5c1-4087-97a4-c01cfaa4a28a,Teams NRT DLP Service,7a274595-3618-4e6f-b54e-05bb353e0153,Microsoft Application
16997759-44ca-4e76-be59-2df1b5aca148,Skype for Business Management Reporting and Analytics - Legacy,de17788e-c765-4d31-aba4-fb837cfff174,Microsoft Application
1724bd54-e424-43a2-b0bb-bdd86ee6df38,IpAddressManager,60b2e7d5-a27f-426d-a6b1-acced0846fdf,Microsoft Application
172776c4-c730-4fef-b671-9e805df8ce3f,Signup,b4bddae8-ab25-483e-8670-df09b9f1d0ea,Microsoft Application
1732e087-bc24-42e6-a6d9-61f9f623442e,Application Insights Configuration Service,6a0a243c-0886-468a-a4c2-eff52c7445da,Microsoft Application
1796e370-d1b2-42a4-8c50-040df89a0c43,Azure Reserved Instance Application,4d0ad6c7-f6c3-46d8-ab0d-1406d5e6c86b,Microsoft Application
17a1739f-70b5-4977-aa16-0fa0917eaa7f,Azure AD Identity Protection,fc68d9e5-1f76-45ef-99aa-214805418498,Microsoft Application
17ee99cd-a242-46c4-8cb2-47691c725d9c,EDU Assignments,8f348934-64be-4bb2-bc16-c54c96789f43,Microsoft Application
18345e90-1714-47b3-ab6e-363191b79f51,Marketplace Reviews,a4c1cdb3-88ab-4d13-bc99-1c46106f0727,Microsoft Application
18663531-d1af-49c6-91f1-ba5848052d61,Azure Machine Learning,0736f41a-0425-4b46-bdb5-1563eff02385,Microsoft Application
18af975e-4fc2-4a66-b96d-9fe792e601f5,Azure Healthcare APIs RBAC,3274406e-4e0a-4852-ba4f-d7226630abb7,Microsoft Application
18fc747c-43ab-4199-aead-4371d7bd013b,Azure Media Services,374b2a64-3b6b-436b-934c-b820eacca870,Microsoft Application
196c7a92-97a2-425d-af7b-7874140f384e,Microsoft To-Do,c830ddb0-63e6-4f22-bd71-2ad47198a23e,Microsoft Application
1a36127a-d5be-4c52-a104-612a08063d6d,Narada Notification Service,51b5e278-ed7e-42c6-8787-7ff93e92f577,Microsoft Application
1b241ac7-25d1-4159-b6a3-328e13bc467c,P2P Server,a2120f5b-cafd-4f1d-98cb-9bb8f941e744,
1b2afb0f-12b6-42e6-a2dd-6ffe91897fd6,Microsoft Defender for Cloud Servers Scanner Resource Provider,0c7668b5-3260-4ad0-9f53-34ed54fa19b2,Microsoft Application
1b8f0dcb-5fca-4b68-aa3b-a1e5944cd291,AI Builder Authorization Service,ad40333e-9910-4b61-b281-e3aeeb8c3ef3,Microsoft Application
1bbfd259-ead6-4beb-b7ce-61d8279fb85f,Billing RP,80dbdb39-4f33-4799-8b6f-711b5e3e61b6,Microsoft Application
1c0c8766-7d68-4f22-9779-7ea04904444b,OCPS Checkin Service,23c898c1-f7e8-41da-9501-f16571f8d097,Microsoft Application
1c3ed02b-18ea-4534-a9fa-151e3cd25a4a,NetworkVerifier,6e02f8e9-db9b-4eb5-aa5a-7c8968375f68,Microsoft Application
1cb83a65-458e-49fa-a6ae-19246a5e7d8b,CCM TAGS,997dc448-eeab-4c93-8811-6b2c80196a16,Microsoft Application
1cf4a5f2-bf1e-4af8-83ab-f376a8b23b82,Azure Maps,ba1ea022-5807-41d5-bbeb-292c7e1cf5f6,Microsoft Application
1d078e4f-09b2-40db-a04b-535831cf0178,PowerAI,8b62382d-110e-4db8-83a6-c7e8ee84296a,Microsoft Application
1d1af413-c348-4807-a851-bed86ea55e0b,Power Platform Dataflows Common Data Service Client,99335b6b-7d9d-4216-8dee-883b26e0ccf7,Microsoft Application
1de48728-b82d-4707-b6d9-8e2ffdb36acd,Skype Teams Calling API Service,26a18ebc-cdf7-4a6a-91cb-beb352805e81,Microsoft Application
1e066e64-955c-4d5f-b19c-bb06dfccb678,MicrosoftAzureRedisCache,96231a05-34ce-4eb4-aa6a-70759cbb5e83,Microsoft Application
1e212983-3360-4630-a493-22875f0a40fa,teams contacts griffin processor,e08ab642-962a-4175-913c-165f557d799a,Microsoft Application
1ed78d24-dc88-49c5-945e-e647f2775eb9,SharePoint Home Notifier,4e445925-163e-42ca-b801-9073bfa46d17,Microsoft Application
1ef9982e-adb8-43ee-9fcb-867a10b8d194,Graph Connector Service,56c1da01-2129-48f7-9355-af6d59d42766,Microsoft Application
1f47c20d-50ad-4f04-a518-030a25e28674,aciapi,c5b17a4f-cc6f-4649-9480-684280a2af3a,Microsoft Application
1f9a9cc8-14db-4b66-9078-fc21d696887b,PushChannel,4747d38e-36c5-4bc3-979b-b0ef74df54d1,Microsoft Application
2007359c-cac2-4245-a9e9-d57917b42a99,Data Export Service for Microsoft Dynamics 365,b861dbcc-a7ef-4219-a005-0e4de4ea7dcf,Microsoft Application
2025c4dc-bc14-4a43-9058-197997c71313,Targeted Messaging Service,4c4f550b-42b2-4a16-93f9-fdb9e01bb6ed,Microsoft Application
204ce7c0-f5a5-469d-8115-dcbec7c3ddb2,Office Shredding Service,b97b6bd4-a49f-4a0c-af18-af507d1da76c,Microsoft Application
20e1702d-783d-43f4-818a-65a9bd174bfc,Exchange Rbac,789e8929-0390-42a2-8934-0f9dafb8ec89,Microsoft Application
21356f39-bc29-44ae-9fe9-a493d36ce315,Azure DNS,19947cfd-0303-466c-ac3c-fcc19a7a1570,Microsoft Application
2144d774-b78d-43a4-8f46-04ff884a3920,ASM Campaign Servicing,0cb7b9ec-5336-483b-bc31-b15b5788de71,Microsoft Application
218a537c-cb91-4d79-8a18-ef326d4b93da,Microsoft.ExtensibleRealUserMonitoring,e3583ad2-c781-4224-9b91-ad15a8179ba0,Microsoft Application
21b7ea9b-6035-46d2-b10f-0fe53345f3b1,Log Analytics API,ca7f3f0b-7d91-482c-8e09-c5d840d0eac5,Microsoft Application
21c6cdc7-2d8c-4b3a-b648-ad64c377c41e,Teams Application Gateway,8a753eec-59bc-4c6a-be91-6bf7bfe0bcdf,Microsoft Application
221a9b6c-37c8-468a-bfb0-1ca9b315c4e4,Office 365 Exchange Online,00000002-0000-0ff1-ce00-000000000000,Microsoft Application
221f1189-4d26-4e3b-8000-e640645469c9,IC3 Gateway TestClone,55bdc56c-2b15-4538-aa37-d0c008c8c430,Microsoft Application
2264b4f9-ec06-4afc-980a-16df6bf97b49,RPSaaS Meta RP,f77c2a8f-8a0a-4776-8e0a-bcb2549610ca,Microsoft Application
226989cc-3234-4233-9c99-d86af5b0d80c,Event Hub MSI App,6201d19e-14fb-4472-a2d6-5634a5c97568,Microsoft Application
230c53b7-1fa7-4ac5-b000-e96382559e58,Power Query Online,f3b07414-6bf4-46e6-b63f-56941f3f4128,Microsoft Application
237ab3a9-d787-4558-8a26-06c12938adaa,Azure Maps Resource Provider,608f6f31-fed0-4f7b-809f-90f6c9b3de78,Microsoft Application
238dcfcd-2b53-4ca3-8b0c-cca5d6613555,Dynamics 365 Resource Scheduling Optimization,2f6713e6-1e21-4a83-91b4-5bf9a2378f81,Microsoft Application
239836a4-ce42-473d-a670-9575e4a9a8f4,Microsoft Defender for Cloud MultiCloud Onboarding,81172f0f-5d81-47c7-96f6-49c58b60d192,Microsoft Application
23af7664-b594-48a0-9371-464c106d12c3,Data Classification Service,7c99d979-3b9c-4342-97dd-3239678fb300,Microsoft Application
23f04f31-f195-4d3f-b690-dc2154daa2f8,Microsoft Seller Dashboard,0000000b-0000-0000-c000-000000000000,Microsoft Application
23fdd014-ffb2-4ae6-bf56-002675919f50,Dynamic Alerts,707be275-6b9d-4ee7-88f9-c0c2bd646e0f,Microsoft Application
242c00d8-679f-4bd0-8273-5388029d2838,Networking-MNC,6d057c82-a784-47ae-8d12-ca7b38cf06b4,Microsoft Application
248f7735-2670-43e1-b2a0-3dd98b7060b4,Media Analysis and Transformation Service,944f0bd1-117b-4b1c-af26-804ed95e767e,Microsoft Application
24cd642f-f084-4cc2-8e50-6b54002aeaac,networkcopilotRP,d66e9e8e-53a4-420c-866d-5bb39aaea675,Microsoft Application
252a4731-8467-4d4a-8bd9-3c96fab81ba1,Azure AD Identity Governance Insights,58c746b0-a0b0-4647-a8f6-12dde5981638,Microsoft Application
